,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,last_dir,query_source,query_responsesOpen,query_sortBy,query_autoplay
1672,https://medium.com/techrepublic-podcast?source=author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,https,medium.com,/techrepublic-podcast,source=author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,,techrepublic-podcast,,,,,techrepublic-podcast,author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,,,
1673,https://medium.com/techrepublic-podcast/is-tech-breaking-the-2016-election-aae065d5912d?source=collection_home---4------4-----------------------,https,medium.com,/techrepublic-podcast/is-tech-breaking-the-2016-election-aae065d5912d,source=collection_home---4------4-----------------------,,techrepublic-podcast,is-tech-breaking-the-2016-election-aae065d5912d,,,,is-tech-breaking-the-2016-election-aae065d5912d,collection_home---4------4-----------------------,,,
1674,https://medium.com/techrepublic-podcast?source=author_recirc-----b47fdfe56e18----2---------------------b755052c_ee64_4578_9ce2_c5852ffd13c3-------,https,medium.com,/techrepublic-podcast,source=author_recirc-----b47fdfe56e18----2---------------------b755052c_ee64_4578_9ce2_c5852ffd13c3-------,,techrepublic-podcast,,,,,techrepublic-podcast,author_recirc-----b47fdfe56e18----2---------------------b755052c_ee64_4578_9ce2_c5852ffd13c3-------,,,
1675,https://medium.com/mindfullove/its-time-you-own-your-extra-1409fc788efd?source=user_profile---------8----------------------------,https,medium.com,/mindfullove/its-time-you-own-your-extra-1409fc788efd,source=user_profile---------8----------------------------,,mindfullove,its-time-you-own-your-extra-1409fc788efd,,,,its-time-you-own-your-extra-1409fc788efd,user_profile---------8----------------------------,,,
1676,https://medium.com/@rebeccakanwar05/exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7?responsesOpen=true&sortBy=REVERSE_CHRON&source=topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,https,medium.com,/@rebeccakanwar05/exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,responsesOpen=true&sortBy=REVERSE_CHRON&source=topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,,@rebeccakanwar05,exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,,,,exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,true,REVERSE_CHRON,
1677,https://medium.com/@rebeccakanwar05/exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7?source=topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,https,medium.com,/@rebeccakanwar05/exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,source=topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,,@rebeccakanwar05,exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,,,,exploring-virtual-reality-in-education-unleashing-the-transformative-power-of-vr-on-learning-and-d10053484db7,topic_portal_latest_stories---------3-89----------stem_education----------eeb6088c_0316_478c_90c2_67dcd0682631-------,,,
1678,https://medium.com/techrepublic-podcast/iowa-big-data-big-win-techrepublic-podcast-episode-27-ac450755c5ef?source=collection_home---4------3-----------------------,https,medium.com,/techrepublic-podcast/iowa-big-data-big-win-techrepublic-podcast-episode-27-ac450755c5ef,source=collection_home---4------3-----------------------,,techrepublic-podcast,iowa-big-data-big-win-techrepublic-podcast-episode-27-ac450755c5ef,,,,iowa-big-data-big-win-techrepublic-podcast-episode-27-ac450755c5ef,collection_home---4------3-----------------------,,,
1679,https://medium.com/business?source=post_page-----185ac56fd192--------------------------------,https,medium.com,/business,source=post_page-----185ac56fd192--------------------------------,,business,,,,,business,post_page-----185ac56fd192--------------------------------,,,
1680,https://medium.com/@TechRepublic?source=author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,https,medium.com,/@TechRepublic,source=author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,,@TechRepublic,,,,,@TechRepublic,author_recirc-----1fde984186d7----2---------------------b7c80754_7013_4b51_a07c_6b1e2c6f5af0-------,,,
1681,https://debharman.medium.com/following?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,debharman.medium.com,/following,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,following,,,,,following,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
