,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,last_dir,query_utm_source,query_utm_medium,query_utm_campaign
915,https://zeo.org/tr/kaynaklar/blog/amp-nedir-2019-amp-rehberi,https,zeo.org,/tr/kaynaklar/blog/amp-nedir-2019-amp-rehberi,,,tr,kaynaklar,blog,amp-nedir-2019-amp-rehberi,,,amp-nedir-2019-amp-rehberi,,,
916,https://zeo.org/tr/kaynaklar/blog/dijital-pazarlama-strateji-rehberi,https,zeo.org,/tr/kaynaklar/blog/dijital-pazarlama-strateji-rehberi,,,tr,kaynaklar,blog,dijital-pazarlama-strateji-rehberi,,,dijital-pazarlama-strateji-rehberi,,,
917,https://zeo.org/tr/kaynaklar/blog/webp-ve-webm-nedir-nasil-kullanilir,https,zeo.org,/tr/kaynaklar/blog/webp-ve-webm-nedir-nasil-kullanilir,,,tr,kaynaklar,blog,webp-ve-webm-nedir-nasil-kullanilir,,,webp-ve-webm-nedir-nasil-kullanilir,,,
918,https://zeo.org/tr/kaynaklar/blog/digitalzone-22-online-etkinlik-rehberi,https,zeo.org,/tr/kaynaklar/blog/digitalzone-22-online-etkinlik-rehberi,,,tr,kaynaklar,blog,digitalzone-22-online-etkinlik-rehberi,,,digitalzone-22-online-etkinlik-rehberi,,,
919,https://zeo.org/tr/kaynaklar/blog/wordpress-hiz-eklentileri,https,zeo.org,/tr/kaynaklar/blog/wordpress-hiz-eklentileri,,,tr,kaynaklar,blog,wordpress-hiz-eklentileri,,,wordpress-hiz-eklentileri,,,
920,https://zeo.org/tr/kaynaklar/blog/digitalzone20-online-sunum-ozetleri-ve-one-cikan-basliklar,https,zeo.org,/tr/kaynaklar/blog/digitalzone20-online-sunum-ozetleri-ve-one-cikan-basliklar,,,tr,kaynaklar,blog,digitalzone20-online-sunum-ozetleri-ve-one-cikan-basliklar,,,digitalzone20-online-sunum-ozetleri-ve-one-cikan-basliklar,,,
921,https://zeo.org/tr/kaynaklar/blog/10-adimda-gorsel-optimizasyonu,https,zeo.org,/tr/kaynaklar/blog/10-adimda-gorsel-optimizasyonu,,,tr,kaynaklar,blog,10-adimda-gorsel-optimizasyonu,,,10-adimda-gorsel-optimizasyonu,,,
922,https://zeo.org/tr/kaynaklar/blog/teknik-seo-icin-kullanabileceginiz-8-farkli-chatgpt-istemi,https,zeo.org,/tr/kaynaklar/blog/teknik-seo-icin-kullanabileceginiz-8-farkli-chatgpt-istemi,,,tr,kaynaklar,blog,teknik-seo-icin-kullanabileceginiz-8-farkli-chatgpt-istemi,,,teknik-seo-icin-kullanabileceginiz-8-farkli-chatgpt-istemi,,,
923,https://zeo.org/tr/kaynaklar/blog/chatgpt-anahtar-kelime-analizi-ve-google-sheets-otomasyonu,https,zeo.org,/tr/kaynaklar/blog/chatgpt-anahtar-kelime-analizi-ve-google-sheets-otomasyonu,,,tr,kaynaklar,blog,chatgpt-anahtar-kelime-analizi-ve-google-sheets-otomasyonu,,,chatgpt-anahtar-kelime-analizi-ve-google-sheets-otomasyonu,,,
924,https://zeo.org/tr/kaynaklar/blog/r-studio-da-chatgpt-kullanimi-ve-bilinmesi-gerekenler,https,zeo.org,/tr/kaynaklar/blog/r-studio-da-chatgpt-kullanimi-ve-bilinmesi-gerekenler,,,tr,kaynaklar,blog,r-studio-da-chatgpt-kullanimi-ve-bilinmesi-gerekenler,,,r-studio-da-chatgpt-kullanimi-ve-bilinmesi-gerekenler,,,
925,https://zeo.org/tr/kaynaklar/blog/pazarlamada-yapay-zeka-kullanimi,https,zeo.org,/tr/kaynaklar/blog/pazarlamada-yapay-zeka-kullanimi,,,tr,kaynaklar,blog,pazarlamada-yapay-zeka-kullanimi,,,pazarlamada-yapay-zeka-kullanimi,,,
926,https://zeo.org/tr/kaynaklar/blog/5-ucretsiz-text-to-image-yapay-zeka-platformu,https,zeo.org,/tr/kaynaklar/blog/5-ucretsiz-text-to-image-yapay-zeka-platformu,,,tr,kaynaklar,blog,5-ucretsiz-text-to-image-yapay-zeka-platformu,,,5-ucretsiz-text-to-image-yapay-zeka-platformu,,,
927,https://zeo.org/tr/kaynaklar/blog/pagerank-atif-degerleri,https,zeo.org,/tr/kaynaklar/blog/pagerank-atif-degerleri,,,tr,kaynaklar,blog,pagerank-atif-degerleri,,,pagerank-atif-degerleri,,,
928,https://zeo.org/tr/kaynaklar/blog/googlein-site-hizindaki-karar-olcegi-core-web-vitals,https,zeo.org,/tr/kaynaklar/blog/googlein-site-hizindaki-karar-olcegi-core-web-vitals,,,tr,kaynaklar,blog,googlein-site-hizindaki-karar-olcegi-core-web-vitals,,,googlein-site-hizindaki-karar-olcegi-core-web-vitals,,,
929,https://zeo.org/tr/kaynaklar/blog/chat-gpt-kullanarak-isinizi-nasil-kolaylastirirsiniz,https,zeo.org,/tr/kaynaklar/blog/chat-gpt-kullanarak-isinizi-nasil-kolaylastirirsiniz,,,tr,kaynaklar,blog,chat-gpt-kullanarak-isinizi-nasil-kolaylastirirsiniz,,,chat-gpt-kullanarak-isinizi-nasil-kolaylastirirsiniz,,,
930,https://zeo.org/tr/kaynaklar/blog/ucretsiz-kullanabileceginiz-en-iyi-7-aso-app-store-optimization-araci,https,zeo.org,/tr/kaynaklar/blog/ucretsiz-kullanabileceginiz-en-iyi-7-aso-app-store-optimization-araci,,,tr,kaynaklar,blog,ucretsiz-kullanabileceginiz-en-iyi-7-aso-app-store-optimization-araci,,,ucretsiz-kullanabileceginiz-en-iyi-7-aso-app-store-optimization-araci,,,
931,https://zeo.org/tr/kaynaklar/blog/dijital-pazarlamada-kullanabileceginiz-6-chatgpt-eklentisi,https,zeo.org,/tr/kaynaklar/blog/dijital-pazarlamada-kullanabileceginiz-6-chatgpt-eklentisi,,,tr,kaynaklar,blog,dijital-pazarlamada-kullanabileceginiz-6-chatgpt-eklentisi,,,dijital-pazarlamada-kullanabileceginiz-6-chatgpt-eklentisi,,,
932,https://zeo.org/tr/kaynaklar/blog/yeni-baslayanlar-icin-seo-rehberi,https,zeo.org,/tr/kaynaklar/blog/yeni-baslayanlar-icin-seo-rehberi,,,tr,kaynaklar,blog,yeni-baslayanlar-icin-seo-rehberi,,,yeni-baslayanlar-icin-seo-rehberi,,,
933,https://zeo.org/tr/kaynaklar/blog/kategori/performans-pazarlamasi,https,zeo.org,/tr/kaynaklar/blog/kategori/performans-pazarlamasi,,,tr,kaynaklar,blog,kategori,performans-pazarlamasi,,performans-pazarlamasi,,,
934,https://zeo.org/tr/kaynaklar/blog/kategori/site-hizi-ve-performans,https,zeo.org,/tr/kaynaklar/blog/kategori/site-hizi-ve-performans,,,tr,kaynaklar,blog,kategori,site-hizi-ve-performans,,site-hizi-ve-performans,,,
935,https://zeo.org/tr/kaynaklar/blog/kategori/seo-etkinlikleri,https,zeo.org,/tr/kaynaklar/blog/kategori/seo-etkinlikleri,,,tr,kaynaklar,blog,kategori,seo-etkinlikleri,,seo-etkinlikleri,,,
936,https://zeo.org/tr/kaynaklar/blog/canli-bloglama-smx-munich-2015,https,zeo.org,/tr/kaynaklar/blog/canli-bloglama-smx-munich-2015,,,tr,kaynaklar,blog,canli-bloglama-smx-munich-2015,,,canli-bloglama-smx-munich-2015,,,
937,https://zeo.org/tr/kaynaklar/blog/kategori/arama-motoru-optimizasyonu,https,zeo.org,/tr/kaynaklar/blog/kategori/arama-motoru-optimizasyonu,,,tr,kaynaklar,blog,kategori,arama-motoru-optimizasyonu,,arama-motoru-optimizasyonu,,,
938,https://zeo.org/tr/kaynaklar/blog/kategori/teknik-seo,https,zeo.org,/tr/kaynaklar/blog/kategori/teknik-seo,,,tr,kaynaklar,blog,kategori,teknik-seo,,teknik-seo,,,
939,https://digitalzone.zeo.org/,https,digitalzone.zeo.org,/,,,,,,,,,,,,
940,https://zeo.org/tr/kaynaklar/blog/kategori/anahtar-kelime-analizi,https,zeo.org,/tr/kaynaklar/blog/kategori/anahtar-kelime-analizi,,,tr,kaynaklar,blog,kategori,anahtar-kelime-analizi,,anahtar-kelime-analizi,,,
941,https://zeo.org/tr/kaynaklar/blog/kategori/digitalzone-meetups,https,zeo.org,/tr/kaynaklar/blog/kategori/digitalzone-meetups,,,tr,kaynaklar,blog,kategori,digitalzone-meetups,,digitalzone-meetups,,,
942,https://zeo.org/tr/kaynaklar/blog/kategori/sektorden-ve-zeo-dan-haberler,https,zeo.org,/tr/kaynaklar/blog/kategori/sektorden-ve-zeo-dan-haberler,,,tr,kaynaklar,blog,kategori,sektorden-ve-zeo-dan-haberler,,sektorden-ve-zeo-dan-haberler,,,
943,https://zeo.org/tr/ekip/tugce-seven,https,zeo.org,/tr/ekip/tugce-seven,,,tr,ekip,tugce-seven,,,,tugce-seven,,,
944,https://zeo.org/tr/ekip/songul-beyter,https,zeo.org,/tr/ekip/songul-beyter,,,tr,ekip,songul-beyter,,,,songul-beyter,,,
945,https://zeo.org/tr/ekip/sinem-bakir,https,zeo.org,/tr/ekip/sinem-bakir,,,tr,ekip,sinem-bakir,,,,sinem-bakir,,,
946,https://zeo.org/tr/ekip/sevval-senyucel,https,zeo.org,/tr/ekip/sevval-senyucel,,,tr,ekip,sevval-senyucel,,,,sevval-senyucel,,,
947,https://zeo.org/tr/kaynaklar/blog/veriminizi-artiracak-en-efektif-4-pazarlama-otomasyonu-araci,https,zeo.org,/tr/kaynaklar/blog/veriminizi-artiracak-en-efektif-4-pazarlama-otomasyonu-araci,,,tr,kaynaklar,blog,veriminizi-artiracak-en-efektif-4-pazarlama-otomasyonu-araci,,,veriminizi-artiracak-en-efektif-4-pazarlama-otomasyonu-araci,,,
948,https://zeo.org/tr/kaynaklar/blog/kategori/icerik-pazarlamasi,https,zeo.org,/tr/kaynaklar/blog/kategori/icerik-pazarlamasi,,,tr,kaynaklar,blog,kategori,icerik-pazarlamasi,,icerik-pazarlamasi,,,
949,https://zeo.org/tr/ekip/sevda-yurtvermez,https,zeo.org,/tr/ekip/sevda-yurtvermez,,,tr,ekip,sevda-yurtvermez,,,,sevda-yurtvermez,,,
950,https://zeo.org/tr/kaynaklar/blog/kategori/link-insasi,https,zeo.org,/tr/kaynaklar/blog/kategori/link-insasi,,,tr,kaynaklar,blog,kategori,link-insasi,,link-insasi,,,
951,https://zeo.org/tr/ekip/serap-yurtvermez,https,zeo.org,/tr/ekip/serap-yurtvermez,,,tr,ekip,serap-yurtvermez,,,,serap-yurtvermez,,,
952,https://zeo.org/tr/ekip/serkan-bingol,https,zeo.org,/tr/ekip/serkan-bingol,,,tr,ekip,serkan-bingol,,,,serkan-bingol,,,
953,https://zeo.org/tr/ekip/yagmur-bayram,https,zeo.org,/tr/ekip/yagmur-bayram,,,tr,ekip,yagmur-bayram,,,,yagmur-bayram,,,
954,https://zeo.org/tr/ekip/recep-alaca,https,zeo.org,/tr/ekip/recep-alaca,,,tr,ekip,recep-alaca,,,,recep-alaca,,,
955,https://zeo.org/tr/ekip/ruhan-tiryaki,https,zeo.org,/tr/ekip/ruhan-tiryaki,,,tr,ekip,ruhan-tiryaki,,,,ruhan-tiryaki,,,
956,https://zeo.org/tr/ekip/ozlem-cakmak,https,zeo.org,/tr/ekip/ozlem-cakmak,,,tr,ekip,ozlem-cakmak,,,,ozlem-cakmak,,,
957,https://zeo.org/tr/ekip/sahin-yildiz,https,zeo.org,/tr/ekip/sahin-yildiz,,,tr,ekip,sahin-yildiz,,,,sahin-yildiz,,,
958,https://zeo.org/tr/ekip/ozan-ketenci,https,zeo.org,/tr/ekip/ozan-ketenci,,,tr,ekip,ozan-ketenci,,,,ozan-ketenci,,,
959,https://zeo.org/tr/ekip/sena-karakaya,https,zeo.org,/tr/ekip/sena-karakaya,,,tr,ekip,sena-karakaya,,,,sena-karakaya,,,
960,https://zeo.org/tr/ekip/rana-yasemin-celebi,https,zeo.org,/tr/ekip/rana-yasemin-celebi,,,tr,ekip,rana-yasemin-celebi,,,,rana-yasemin-celebi,,,
